start, end,text
0,3000,antidepressants for retina is
2500.0,5500.0,if you sure that confirm
5000.0,8000.0,mikey easier to get a small and
7500.0,10500.0,parichay
12500.0,15500.0,criticism
15000.0,18000.0,cat versus dog the fermi cream
17500.0,20500.0,back to you selena part answer
20000.0,23000.0,trained dogs
25000.0,28000.0,antenna
30000.0,33000.0,keep dogs away
32500.0,35500.0,tension relief 96
35000.0,38000.0,unlock ansal park
37500.0,40500.0,animal the animal statue in this period
40000.0,43000.0,cat and dogs world highest marks
42500.0,45500.0,sintex
45000.0,48000.0,pratap simha
47500.0,50500.0,setup as well as vaccination
50000.0,53000.0,i have to study about harmful for you
52500.0,55500.0,for you and for your family
55000.0,58000.0,if you like this video please come up and
57500.0,60500.0,this place
60000.0,63000.0,is what i think makes the best
62500.0,65500.0,friends forever images
67500.0,70500.0,ashok
70000.0,73000.0,request
72500.0,75500.0,if you like more information
75000.0,78000.0,any video please
77500.0,80500.0,now and i can also make sure videos for it
80000.0,83000.0,things between us
82500.0,85500.0,connection
95000.0,98000.0,i am making with happy
97500.0,100500.0,happy and unprofessional at
100000.0,103000.0,explain and institutions of saint michael
102500.0,105500.0,educate ki photo animals and half
105000.0,108000.0,honesty 5 the best hairstyle of
107500.0,110500.0,thermiva you like me now
110000.0,113000.0,meena another feature that involve ideas
112500.0,115500.0,i am back status
115000.0,118000.0,the best hit ep 28
117500.0,120500.0,christmas tree
120000.0,123000.0,asking for
122500.0,125500.0,and i like most
125000.0,128000.0,i am not going to say that hurts
127500.0,130500.0,utah physician
130000.0,133000.0,never pie in an amorphous completed now
132500.0,135500.0,one word for some reason
135000.0,138000.0,if somebody is asking
137500.0,140500.0,confirm for christmas operator operator
140000.0,143000.0,sarees material.
142500.0,145500.0,territories in variation tables
145000.0,146680,get aadhar
