start, end,text
7500.0,10500.0,224
10000.0,13000.0,stuck in traffic
15000.0,18000.0,prabhavit karti
17500.0,20500.0,safarnama
22500.0,25500.0,bethadoxin
27500.0,30500.0,bengali video
32500.0,35500.0,city life
35000.0,38000.0,quality
37500.0,40500.0,facebook new rule
40000.0,43000.0,computer
42500.0,45500.0,nightmare
45000.0,48000.0,cloth
47500.0,50500.0,duffer
50000.0,53000.0,karnataka capital
52500.0,55500.0,gridlock
55000.0,58000.0,voice bengaluru stuck in traffic
57500.0,60500.0,india today brings you
60000.0,63000.0,the real issue
65000.0,68000.0,breathing evolving to the. ram preeti choudhary
67500.0,70500.0,badri and bijoy new right now from mg road
70000.0,73000.0,the in bengaluru today
72500.0,75500.0,continue to get you the political juice of the karna
75000.0,78000.0,the karnataka electronics continues to get you the
77500.0,80500.0,you the very latest in terms of political rhetoric
80000.0,83000.0,we are going to get you to the cause of this
82500.0,85500.0,selection stories that matter
85000.0,88000.0,real story story that will make impact
87500.0,90500.0,fact on the citizens of this city
90000.0,93000.0,and one of them is traffic now
92500.0,95500.0,we coming from there and the
95000.0,98000.0,we came india drinking that we know traffic
97500.0,100500.0,traffic in delhi is a very very
100000.0,103000.0,read full story when you come down to bengaluru
102500.0,105500.0,restart the shoot covering traffic
105000.0,108000.0,traffic at about 8 a.m. today morning
107500.0,110000,we could barely reach three places to the
